,ucs_ra,ucs_dec,spectral_type,r_P1,i_P1,z_P1,y_P1,rerr_P1,ierr_P1,zerr_P1,yerr_P1,J_2MASS,Ks_2MASS,Jerr_2MASS,Kserr_2MASS,W1,W2,W1err,W2err,ucs_pmra,ucs_pmdec,r_i_P1,i_z_P1,z_y_P1,J_Ks_2MASS,w1_w2_all,DES_r,DES_i,DES_z,DES_y,VISTA_J,VISTA_Ks,CAT_W1,CAT_W2
0,0.0434,11.602,21.5,,,,,,,,,,,,,16.868,16.613,0.116,,-90.0,-8.0,,,,,0.254999999999999,,,,,,,16.878279245433372,16.643609616510886
1,0.0563,25.9055,24.5,,,19.17,17.42,,,0.01,0.01,15.063,14.836,0.041,0.12,,,,,-19.1,126.7,,,1.75,0.2270000000000003,,,,18.21560993656458,17.277764543736403,14.940719816746862,14.846236449357034,,
2,0.3007,15.5932,13.7,,20.37,18.85,17.81,,0.01,0.02,0.01,15.522,13.71,0.062,0.044,12.965,12.539,0.024,0.024,143.0,-174.7,,1.5199999999999996,1.0400000000000027,1.8119999999999994,0.42600000000000016,,19.869041186231545,18.276015399590285,17.71745598374323,15.436653692844914,13.78874149399943,12.974630293702745,12.572686971803876
3,0.3821,-8.69,11.0,,20.21,18.57,17.57,,0.03,0.01,0.01,15.712,14.698,0.05,0.09,14.344,13.993,0.031,0.047,339.9,-305.0,,1.6400000000000006,1.0,1.0139999999999993,0.3509999999999991,,19.646878521032868,18.017446693281876,17.480255501490095,15.60805859308072,14.742251257012281,14.353914921654775,14.025337254570108
4,0.7124,24.9039,15.5,,22.3,20.3,19.31,,0.08,0.04,0.03,17.165,15.656,0.224,0.217,14.819,14.574,0.032,0.058,22.0,-46.0,,2.0,0.990000000000002,1.5089999999999986,0.245000000000001,,21.550390525436836,19.75280451670477,19.22095538092681,17.072593147445726,15.721645576947918,14.829317195826977,14.60442965421305
5,0.9263,-28.3781,7.5,19.41,16.77,15.43,14.67,0.01,0.0,0.0,0.0,13.068,11.972,0.024,0.025,11.705,11.519,0.024,0.023,286.7,-145.43,2.6400000000000006,1.3399999999999999,0.7599999999999998,1.096,0.18599999999999994,18.902017709528213,16.36228518402956,15.00603445543141,14.597052607971273,12.965969367743206,12.019795366577375,11.71554110314924,11.548367876655819
6,1.0127,-64.1768,11.0,,,,,,,,,15.786,14.009,0.072,0.046,13.409,12.959,0.024,0.026,64.0,-47.0,,,,1.7769999999999992,0.45000000000000107,,,,,15.699838118293853,14.08622876430701,13.418539212758096,12.993118881318681
7,1.1278,-26.0666,22.0,,,20.12,18.62,,,0.03,0.03,16.487,15.523,0.133,,15.211,14.127,0.038,0.044,-1.0,-244.0,,,1.5,0.9639999999999986,1.0839999999999996,,,19.299555522137013,18.4952615296543,16.3818934865792,15.56509021459454,15.21813315780361,14.172528491001465
8,1.1453,-40.7351,15.0,,,,,,,,,13.109,11.396,0.024,0.026,10.736,10.463,0.022,0.02,671.1,-1498.2,,,,1.7129999999999992,0.27300000000000146,,,,,13.021346781971912,11.470462630012301,10.746210934724886,10.49393354864699
9,1.1728,-20.975,8.0,19.15,16.41,14.94,14.06,0.01,0.0,0.0,0.01,12.404,11.396,0.022,0.023,11.056,10.745,0.023,0.02,758.23,85.2,2.7399999999999984,1.4700000000000006,0.879999999999999,1.0079999999999991,0.31099999999999994,18.58362954000925,15.934942296730991,14.451740574356643,13.978654054730683,12.299918780300539,11.439991931922151,11.06606672322919,10.776617405378765
10,1.2398,-17.1603,5.5,15.99,,,,0.0,,,,10.997,10.084,0.022,0.021,9.89,9.701,0.023,0.02,145.14,-8.5,,,,0.9130000000000003,0.18900000000000006,,,,,10.890705077947658,10.123885951328443,9.900529718031159,9.73042186534517
11,1.3229,37.6223,29.0,,,,,,,,,,,,,16.764,13.291,0.089,0.031,998.9,-267.0,,,,,3.472999999999999,,,,,,,16.762066808771635,13.379521483954415
12,1.4519,-21.9555,9.0,19.95,17.11,15.69,14.84,0.01,0.0,0.0,0.01,13.274,12.201,0.025,0.03,11.891,11.624,0.023,0.022,710.8,-124.81,2.84,1.42,0.8499999999999996,1.0729999999999986,0.26699999999999946,19.325241370490286,16.66084340723044,15.217814044625335,14.760753693040831,13.171433418752509,12.247801287065215,11.901233704961047,11.654825571268288
13,1.5552,15.6723,19.0,,,21.05,19.87,,,0.08,0.06,,,,,15.337,14.704,0.041,0.068,93.0,-74.0,,,1.1799999999999997,,0.6329999999999991,,,20.401005871669724,19.76765767162921,,,15.345844720555144,14.741412191369076
14,1.5586,16.0818,10.0,,20.75,19.23,18.3,,0.02,0.01,0.01,16.591,15.091,0.128,0.156,15.066,14.904,0.036,0.068,4.0,-42.0,,1.5199999999999996,0.9299999999999997,1.5000000000000018,0.1620000000000008,,20.249041186231544,18.714951457242158,18.215154657547107,16.498383428275453,15.156256589312724,15.076632184093889,14.932935967141013
15,1.5854,-17.3475,12.5,22.49,20.26,18.83,17.8,0.1,0.01,0.01,0.01,15.662,14.01,0.065,0.052,13.472,13.179,0.026,0.028,-33.0,10.4,2.229999999999997,1.4300000000000033,1.0299999999999976,1.652000000000001,0.29299999999999926,22.221409204555968,19.805663185130552,18.261373223013184,17.708155863179947,15.572925352040064,14.081826158262656,13.482135033937677,13.210293473242661
16,1.5953,-13.3308,15.0,,,19.69,18.79,,,0.02,0.13,16.674,15.115,0.126,0.127,14.239,13.754,0.027,0.042,-238.0,-441.0,,,0.9000000000000021,1.5589999999999993,0.4850000000000012,,,19.19102492751085,18.70725429585725,16.58275825394724,15.182806619365659,14.248406386380484,13.788748749361107
